x,y,z
-34.44612503,-109.83036804,2.71847868
-33.75006485,-110.72570038,2.71158147
-33.01376343,-111.66135406,2.65963173
-32.33417892,-112.56919861,2.63228679
-31.66203880,-113.49716187,2.60741973
-30.96213150,-114.49100494,2.57957029
-30.32087326,-115.38612366,2.53584909
-29.65634918,-116.37453461,2.49436402
-29.00880432,-117.37141418,2.45064878
-28.37342834,-118.38574982,2.42172933
-27.73552895,-119.34741974,2.38971257
-27.02902794,-120.25504303,2.33638215
-26.23323631,-121.11291504,2.28788590
-25.44458961,-121.94371033,2.30539250
-24.64347267,-122.84609222,2.24545455
-23.96636009,-123.45026398,2.20459747
-23.15594673,-123.85011292,2.15660739
-22.03671837,-124.08199310,2.13831878
-20.97764397,-124.03791809,2.09880209
-19.93838310,-123.83435822,2.08535910
-18.87676811,-123.52203369,2.06215215
-17.81637001,-123.20561218,2.02651167
-16.77343559,-122.87133789,2.00438404
-15.76961803,-122.53448486,1.99821329
-14.72850895,-122.17217255,2.00657034
-13.77187443,-121.70635986,2.02904248
-12.87387180,-121.13496399,2.08106184
-11.97061348,-120.48157501,2.10877776
-11.08391190,-119.79389191,2.11565590
-10.18019772,-119.07284546,2.13160300
-9.39550495,-118.28362274,2.12900782
-8.74163246,-117.40396118,2.14416552
-8.22526360,-116.47330475,2.13793039
-7.73958588,-115.53018188,2.11356568
-7.09883451,-114.62390900,2.09670353
-6.41462421,-113.82981110,2.06743050
-5.66892004,-113.13808441,2.02436161
-4.86998034,-112.49597931,1.99787331
-4.02694750,-111.57382202,1.93113363
-3.69512486,-111.01861572,2.01329494
-3.54060555,-110.30547333,2.01394725
-3.57280970,-109.62769318,2.00110221
-3.73592401,-108.99571228,1.97587609
-4.22058487,-107.99365234,1.93407834
-4.85832262,-107.08665466,1.89578152
-5.57149172,-106.08977509,1.84330678
-6.27150726,-105.09170532,1.81399071
-6.87507343,-104.20651245,1.77329922
-7.48868942,-103.29222107,1.73176229
-8.12509632,-102.31731415,1.66547287
-8.72427177,-101.38555908,1.60546219
-9.33841038,-100.37720490,1.54073131
-9.87898636,-99.42169189,1.50328279
-10.06164265,-98.81230164,1.50756168
-10.12827015,-98.13181305,1.48912740
-9.97898388,-97.24544525,1.46732736
-9.58242512,-96.22629547,1.45737314
-9.17188644,-95.30277252,1.44841003
-8.62909412,-94.35638428,1.45762527
-8.04878521,-93.35799408,1.41594481
-7.54196119,-92.42129517,1.39932644
-6.90750790,-91.50447845,1.38270020
-6.09970427,-90.70152283,1.38716006
-5.20771933,-90.05158234,1.36577702
-4.27935362,-89.42241669,1.35048854
-3.33948541,-88.78325653,1.35553586
-2.44345093,-88.11250305,1.31255722
-1.55670655,-87.44358063,1.28340518
-0.62425101,-86.76273346,1.25995541
0.33748612,-86.07474518,1.23715830
1.27018404,-85.41268921,1.22621918
2.23438501,-84.78504944,1.21172309
3.24408650,-84.24782562,1.21787524
4.36440182,-83.85826874,1.21850443
5.34661961,-83.65081787,1.21613872
6.30132246,-83.66799164,1.21572840
7.14966917,-83.88756561,1.20873368
8.10757732,-84.34104156,1.21428490
9.08414459,-84.84453583,1.24082649
10.01168346,-85.39051819,1.27397299
10.87255001,-86.00350189,1.29741085
11.64516068,-86.68435669,1.31836164
12.32313919,-87.51535797,1.31845510
12.99681473,-88.43730164,1.32585299
13.58657837,-89.29806519,1.35773408
14.18801403,-90.20213318,1.38605893
14.78396606,-91.12528992,1.40461564
15.46494484,-91.98806000,1.42879140
16.17334175,-92.48461914,1.45438993
16.97370911,-92.82420349,1.47906935
17.81902313,-92.96139526,1.52177346
18.84383392,-92.92051697,1.57124960
19.79397774,-92.64073944,1.65528500
20.72131348,-92.16034698,1.73844504
21.42113113,-91.56052399,1.84733212
21.85231590,-91.02655029,1.94294119
22.10851860,-90.32541656,2.01908183
22.18151474,-89.63878632,2.09243631
22.12782478,-89.17645264,2.13103652
21.93811989,-88.57598877,2.17015266
21.40776062,-87.56356812,2.25695205
20.78361702,-86.54229736,2.35686159
20.04008484,-85.69340515,2.43216586
19.19445610,-84.93083191,2.54670835
18.86050415,-84.53317261,2.58716226
18.63723373,-84.26746368,2.61367989
18.60481644,-83.99430847,2.59269071
18.67045021,-83.59286499,2.59586906
19.03339577,-83.27362823,2.62492323
19.92739105,-82.67298889,2.72465038
20.63747787,-81.90779114,2.81644464
21.31713104,-81.09817505,2.88962030
22.01282310,-80.29512787,2.93567181
22.75830460,-79.47887421,2.99795365
23.44654846,-78.73163605,3.03431368
24.27534294,-77.84414673,3.12274337
25.12201500,-76.96686554,3.17616653
25.97304726,-76.10517883,3.23027706
26.80579948,-75.28927612,3.28784156
27.63088989,-74.49485016,3.35852742
28.39879799,-73.78673553,3.40036273
29.16346359,-73.07221985,3.47867489
29.88230324,-72.20336151,3.53342247
30.64456749,-71.27535248,3.61313558
31.37518501,-70.57443237,3.68167162
32.22074509,-69.90507507,3.73478079
33.16122055,-69.17176819,3.83384180
33.93945694,-68.45682526,3.84808230
34.87621307,-67.68104553,3.90048003
35.87872314,-66.95806122,3.95790195
36.87490082,-66.27550507,4.03209448
37.82889557,-65.63004303,4.09819937
38.86761856,-64.98342896,4.14830256
39.89185715,-64.35953522,4.16684484
40.90167236,-63.75122833,4.21748781
41.87964249,-63.19951248,4.23782444
42.82253265,-62.61314011,4.27053022
43.74529266,-61.99228668,4.29244137
44.69165039,-61.38344955,4.32380295
45.65616989,-60.74705505,4.33729362
46.62215424,-60.05392838,4.36387968
47.53898621,-59.34083939,4.40925598
48.45159149,-58.53744888,4.42473221
49.37183762,-57.74403000,4.44727802
50.29212952,-56.97476578,4.46562099
51.24711227,-56.25626373,4.49132299
52.30861282,-55.64312363,4.49895000
53.34936905,-54.99604416,4.51690245
54.37895966,-54.33768082,4.52595139
55.35855865,-53.71797562,4.55079937
56.34690094,-53.09892273,4.56128740
57.34075546,-52.52002335,4.58697891
58.36496353,-51.91706467,4.62342548
59.26710510,-51.17173767,4.62291718
60.28579330,-50.52093506,4.65333748
61.33869171,-49.93997574,4.69353771
62.30179214,-49.32309723,4.69837904
63.29155731,-48.63045120,4.72708225
64.33924866,-47.99533081,4.76451635
65.39911652,-47.37779236,4.78680420
66.41533661,-46.70291519,4.80833912
67.39752197,-46.02054596,4.82835770
68.33000946,-45.39379501,4.84043455
69.20302582,-44.82038116,4.88979578
70.06873322,-44.26253510,4.91969776
71.00306702,-43.69130707,4.94173956
71.92292786,-43.14180374,4.97804689
72.84109497,-42.61434937,5.01547337
73.72898102,-42.08798218,5.03544617
74.61785126,-41.53628159,5.08893490
75.56233978,-40.90269852,5.11214113
76.36654663,-40.28362274,5.11960363
77.13479614,-39.64135742,5.16779947
78.05098724,-38.86006165,5.21576357
78.88087463,-38.13953781,5.24088383
79.79521179,-37.39192963,5.23115873
80.73380280,-36.63026810,5.21264315
81.70753479,-35.87875748,5.21117210
82.69857025,-35.18902588,5.20821428
83.55567932,-34.67340088,5.18238592
84.62516022,-34.06551361,5.17600489
85.60218811,-33.50284958,5.18042707
86.68710327,-32.92097473,5.13839626
87.71106720,-32.37046814,5.11791849
88.74295807,-31.84715271,5.09316397
89.80181885,-31.30912590,5.07078314
90.86817169,-30.69366455,5.06948280
91.57325745,-30.08169556,5.03105068
91.95513153,-29.62339973,5.01904583
92.19473267,-29.05520821,4.99961758
92.32769012,-28.43116188,5.02564383
92.32964325,-27.88485336,5.02292633
92.20311737,-27.41245842,5.04712391
91.88375854,-26.78645897,5.02617073
91.54484558,-26.40298080,5.02225208
91.24871063,-26.17595100,4.98648691
90.95429230,-26.07830620,4.96108103
90.22880554,-25.92649460,4.92539167
89.74878693,-26.00173378,4.88839245
88.70583344,-26.30600357,4.78280449
87.69296265,-26.64286232,4.72030735
86.62467194,-26.89459419,4.64432049
85.60936737,-27.09257126,4.56160688
84.60224915,-27.22581863,4.48462057
83.41327667,-27.56622696,4.37660265
82.21067047,-27.91880608,4.26118231
81.19100952,-28.19884491,4.16905832
80.19441223,-28.48947334,4.07620096
79.08385468,-28.67924309,3.97486997
77.97316742,-28.71242714,3.84734893
76.81305695,-28.61215591,3.75599813
75.82500458,-28.42002487,3.68875647
74.84248352,-28.19760704,3.63036990
73.77992249,-27.91500092,3.57477593
72.69033051,-27.59897041,3.51531076
71.69519043,-27.50042534,3.48836279
70.69079590,-27.50321770,3.44234228
69.63314819,-27.48954010,3.41541958
68.59343719,-27.45906830,3.38324165
67.38347626,-27.54060745,3.39555645
66.32166290,-27.82276344,3.50979066
65.15591431,-28.08369446,3.58031225
64.07450867,-28.37863922,3.57002306
63.07991028,-28.66914749,3.56567287
61.98584747,-29.00688171,3.54894638
61.02939987,-29.32083321,3.52967691
60.05670547,-29.65580940,3.52580786
58.92581940,-30.04340935,3.50869703
57.87384033,-30.32515144,3.50226855
56.79297638,-30.58233833,3.48818493
55.69681549,-30.81318092,3.46681762
54.56937027,-31.04544067,3.46345949
53.52853012,-31.28215027,3.47350526
52.54716492,-31.53583527,3.46487641
51.53487778,-31.80715179,3.45576429
50.38161469,-32.11884308,3.45044589
49.38824463,-32.37375259,3.45154548
48.16864777,-32.67585754,3.43819618
46.99463272,-32.93891144,3.43090439
45.78824615,-33.24612427,3.43299747
44.74956131,-33.52127075,3.41316533
43.69731522,-33.79145432,3.40005779
42.52166748,-34.02373505,3.39337730
41.39212799,-34.21764755,3.38570404
40.27780914,-34.43242645,3.37278199
39.13381577,-34.66531372,3.36548114
38.09357834,-34.85700989,3.35830164
36.98373795,-35.04774094,3.34966898
35.86370850,-35.22568512,3.32393050
34.72781754,-35.37011337,3.31463814
33.72645187,-35.48282623,3.29627943
32.49581146,-35.58716965,3.26810265
31.41096306,-35.74229813,3.26546550
30.25115585,-35.91369247,3.22695494
29.22993279,-36.05433273,3.20808363
28.19101906,-36.18903351,3.20657802
26.98868370,-36.32254410,3.19742036
25.92340088,-36.35274887,3.16292858
24.69673538,-36.32049561,3.12890291
23.48047066,-36.29378891,3.11691880
22.41072273,-36.25946808,3.10305667
21.22245026,-36.21218491,3.06419897
20.15530014,-36.15607071,3.03503776
18.99211884,-36.06448364,3.03463268
17.77645493,-35.92779160,3.00402188
16.62246895,-35.75530624,2.97617579
15.43062019,-35.55624390,2.95035863
14.23111629,-35.31517410,2.94030523
13.23129177,-35.10029984,2.89637804
12.06161880,-34.87911987,2.88487387
10.92829609,-34.66075134,2.89186049
9.89329720,-34.46173477,2.86538696
8.85723305,-34.24009705,2.85521984
7.76026011,-33.99714661,2.83361077
6.60075760,-33.71550369,2.82037544
5.42426109,-33.41304016,2.78193974
4.13983202,-33.06648254,2.74823046
2.94535089,-32.73458862,2.72918057
1.72474182,-32.36754227,2.71814823
0.54411107,-31.98301315,2.69658804
-0.65354979,-31.52065277,2.67222381
